2,Підтримка ,"Перешкоджання, 2 рівень",1 дія,30 футів,,8 годин,"Ваші чари наділяють ваших союзників твердістю й рішучістю. Виберіть до трьох істот в межах відстані. Максимум пунктів здоров’я кожної цілі та поточні пункти здоров’я зростають на 5, поки тривають чари. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 3 рівня або вищої, пункти здоров’я цілі зростають додатково на 5 за кожну чарунку вище другої.","Клірик, паладин"
3,Підіймання мерців  ,"Некромантія, 3 рівень",1 хвилина,10 футів,"В, С, М (крапля крові, шматочок плоті й дрібка кісткового пороху)",Миттєво,"Ці чари створюють невмерлого служника. Виберіть купу кісток або труп гуманоїда середнього або малого розміру в межах відстані. Ваші чари наповнюють ціль огидною подобою життя, підіймаючи її як невмерлу істоту. Ціль стає скелетом, якщо ви вибрали купу кісток, або зомбі, якщо ви обрали труп (ігрова статистика істоти є у Майстра). У кожен свій хід ви можете використати бонусную дію, щоб віддати створеній цими чарами істоті ментальну команду, якщо істота перебуває у межах 60 футів від вас (якщо ви контролюєте кількох істот, ви можете наказувати будь-якій з них або всім одночасно, віддаючи кожній істоті той самий наказ). Ви вирішуєте, яку дію виконуватиме істота і куди вона рухатиметься у свій наступний хід, або ж ви можете віддати загальний наказ, наприклад, вартувати певну кімнату або коридор. Якщо ви не віддаєте наказів, істота тільки захищається від ворожих істот. Щойно віддано наказ, істота продовжує виконувати його, поки задачу не буде виконано. Істота залишається під вашим контролем на 24 години, після чого перестає коритися наказам, які ви віддаєте. Щоб підтримувати контроль над істотою на наступні 24 години, ви повинні створити ті самі чари на цю істоту знову, до завершення 24-годинного періоду. Таке використання чарів оновлює ваш контроль щонайбільше над чотирма істотами, створеними цими чарами, замість того, щоб підіймати ще одного мерця. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 4 рівня або вищої, ви підіймаєте або оновлюєте контроль над двома додатковими невмерлими істотами за кожну чарунку вище третьої. Кожна істота має походити з окремого трупа або купи кісток.","Клірик, чарівник"
7,Регенерація ,"Перетворення, 7 рівень",1 хвилина,Дотик Складові:,"В, С, М (молитовне колесо та свята вода)",1 година,"Ви доторкаєтеся до істоти й стимулюєте її природну здатність до зцілення. Ціль відновлює 4к8 + 15 пунктів здоров’я. Поки діють чари, ціль відновлює 1 пункт здоров’я на початку кожного свого ходу (10 пунктів здоров’я кожної хвилини). Відділені частини тіла цілі (пальці, ноги, хвости тощо), якщо такі є, відновлюються через 2 хвилини. Якщо у вас є ця відділена частина тіла і ви прикладаєте її до кукси, чари миттєво зв’яжуть кінцівку із куксою.","Бард, клірик, друїд"
0,Ремесло друдів ,"Перетворення, замовляння",1 дія,30 футів,"В, С",Миттєво,"Звертаючись пошепки до духів природи, ви створюєте один із наступних ефектів у межах відстані:",Друїд
5,Реінкарнація ,"Перетворення, 5 рівень",1 година,Дотик Складові:,"В, С, М (рідкісні олії та мазі вартістю щонайменше 1000 зм, які поглинаються чарами)",Миттєво,"Ви доторкаєтеся до мертвого гуманоїда або решток мертвого гуманоїда. За умови, що істота була мертвою не довше 10 днів, чари формують для неї нове доросле тіло і потім прикликають до цього тіла душу. Якщо душа цілі невільна або незгодна зробити це, чари провалюються. Магія створює нове тіло, щоб його населила істота, і це, ймовірно, призводить до зміни раси істоти. Майстер кидає к100 та звіряється з наведеною таблицею, щоб визначити, якої форми набуває істота, коли її повертають до життя, або Майстер обирає цю форму. Реінкарнована істота пригадує своє минуле життя та досвід. Вона зберігає можливості, які мала оригінальна форма, однак замінює риси початкової раси на риси нової раси відповідно.",Друїд
5,Розвіювання зла й добра    ,"Перешкоджання, 5 рівень",1 дія,На себе,"В, С, М (свята вода або стерте на пил срібло й залізо)","Концентрація, до 1 хвилини","Мерехтлива енергія оточує вас і захищає вас від фей, невмерлих та істот, що походять з-поза матеріального плану. На час дії чарів небожителі, стихійники, феї, погань та невмерлі мають перешкоду на кидки атаки проти вас. Ви можете завершити дію чарів завчасно, вибравши один із наступних особливих варіантів: Зірвати причарування. Ви дією торкаєтеся істоти в межах своєї досяжності, яка є причарованою, наляканою або одержимою небожителем, стихійником, феєю, поганню або невмерлим. Істота, якої ви торкаєтеся, більше не причарована, не налякана та не одержима такими істотами. Вигнання.Дією здійсніть атаку чарами ближнього бою проти небожителя, стихійника, феї, погані або невмерлого, який перебуває у межах вашої досяжності. У разі влучання ви намагаєтеся вигнати істоту на її рідний план. Істота має здійснити рятівний кидок Харизми, інакше вона буде відправлена на свій рідний план (якщо тільки вона вже не знаходиться там). Невмерлі відправляються до Царства Тіней, а феї - до Фейвальду.","Клірик, паладин"
3,Розвіювання магі  ,"Перешкоджання, 3 рівень",1 дія,120 футів,"В, С",Миттєво,"Виберіть одну істоту, предмет або магічний ефект у межах відстані. Будь-які чари 3-го або нижчого рівнів, створені на цілі, закінчуються. Для кожних чарів 4-го або вищого рівнів, створених на цілі, зробіть перевірку своєї чаротворчої здібності. КС дорівнює 10 + рівень чарів. У разі успіху чари закінчуються. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 4-го рівня або вищої, ви автоматично закінчуєте на цілі ефекти чарів, рівень яких не перевищує рівень використаної чарунки.","Бард, клірик, друїд, паладин, заклинач, чаклун, чарівник"
2,Розжарення металу  ,"Перетворення, 2 рівень",1 дія,60 футів,"В, С, М (шматочок заліза та полум’я)","Концентрація, до 1 хвилини","Виберіть предмет, виготовлений із металу, наприклад, металеву зброю або важкий чи середній металевий обладунок, який ви можете бачити в межах відстані. Ви розжарюєте предмет так, що він аж світиться червоним. Будь-яка істота в фізичному контакті з цим предметом отримує 2к8 ушкоджень вогнем, коли ви створюєте ці чари. Поки діють чари, ви можете використати бонусну дію в кожному зі своїх наступних ходів, щоб знову завдати цих ушкоджень. Якщо істота тримає чи носить предмет і отримує від нього ушкодження, ця істота повинна зробити рятівний кидок Статури, або впустити предмет, якщо це можливо. Якщо вона не кидає предмет, то має перешкоду на кидки атаки та перевірки здібності до початку вашого наступного ходу. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 3 рівня або вищої, ушкодження зростають на 1к8 за кожну чарунку вище другої.","Бард, друїд"
7,Розкішний маток  ,"З’явлення, 7 рівень",1 хвилина,300 футів,"В, С, М (мініатюрний портал, вирізаний зі слонової кістки, маленький шматочок полірованого мармуру та крихітна срібна ложечка, кожен предмет вартістю щонайменше 5 зм)",24 години,"Ви являєте міжвимірне житло в межах відстані, і воно існує, поки діють чари. Ви вибираєте, де розміщений один його вхід. Вхід слабко мерехтить і має 5 футів завширшки та 10 футів заввишки. Ви та будь-яка істота, яку ви визначаєте, коли створюєте ці чари, можете увійти до міжвимірного житла, допоки портал залишається відкритим. Ви можете відкрити чи закрити портал, коли перебуваєте у межах 30 футів від нього. Поки портал закритий, він невидимий. За порталом розташоване розкішне фойє з численними кімнатами. Повітря чисте, свіже та тепле. Ви можете створити будь-який план поверху, але простір не може перевищувати 50 кубів, кожен зі стороною 10 футів. Маєток обставлений та прикрашений за вашим вибором. Він містить достатньо їжі, щоб забезпечити бенкет із 9 страв для 100 осіб. Персонал зі 100 напівпрозорих служників піклується про всіх, хто входить. Ви визначаєте зовнішній вигляд цих служників та їхнє вбрання. Вони повністю підкорюються вашим наказам. Кожен служник може виконати будь-яке завдання, можливе для звичайного служника-людини, але він не може атакувати чи здійснити будь-яку дію, що прямо нашкодить іншій істоті. Отже, служники можуть принести річ, почистити, полагодити, скласти одяг, запалити вогонь, подати їжу, налити вино тощо. Служники можуть переміщуватися будь-де по маєтку, але не можуть вийти з нього. Меблювання та інші предмети, створені цими чарами, зникають у диму, якщо їх винести з маєтку. Коли чари завершуються чари, будь-які істоти всередині міжвимірного простору виганяються у відкритий простір, найближчий до входу.","Бард, чарівник"
2,Розмиття ,"Ілюзія, 2 рівень",1 дія,На себе,В,"Концентрація, до 1 хвилини","Ваш образ стає розмитим, зміщується та коливається для всіх, хто може вас бачити. Поки діють чари, всі істоти мають перешкоду на кидки атаки проти вас. Нападник має імунітет до цього ефекту, якщо він не покладається на зір, як зі сліпим зором, або може бачити крізь ілюзії, як із істинним зором.","Заклинач, чарівник"
3,Розмова з мертвими   ,"Некромантія, 3 рівень",1 дія,10 футів,"В, С, М (підпалений ладан)",10 хвилин,"Ви надаєте видимість життя та розуму вибраному вами трупу в межах відстані, дозволяючи йому відповісти на запитання, які ви ставите. Труп все одно мусить мати рот і не може бути невмерлим. Чари провалюються, якщо труп уже був ціллю цих чарів упродовж останніх 10 днів. Поки чари не завершаться, ви можете поставити трупу до п’яти запитань. Труп знає тільки те, що знав за життя, включно з мовами. Відповіді зазвичай короткі, загадкові або повторювані, і труп не зобов’язаний давати правдиві відповіді, якщо ви ворожі до нього або якщо він впізнає вас як ворога. Ці чари не повертають душу істоти до її тіла, тільки його оживлений дух. Таким чином, труп не може дізнатися нової інформації, не розуміє нічого, що сталося після його смерті, і не може спекулювати щодо майбутніх подій.","Бард, клірик"
3,Розмова з рослинами   ,"Перетворення, 3 рівень",1 дія,На себе,"В, С",10 хвилин,"Ви наповнюєте рослини в межах 30 футів навколо себе обмеженим розумом та оживленням, даючи їм здатність спілкуватися з вами та виконувати ваші прості накази. Ви можете запитати рослини про події в області чарів упродовж останнього дня, отримати інформацію про істот, які тут проходили, погоду та інші обставини. Ви також можете перетворити важкопрохідну місцевість, створену ростом рослин (наприклад, зарості та підлісок), на звичайну місцевість, що існує, поки діють чари. Або ви можете перетворити звичайну місцевість, де є рослини, на важкопрохідну місцевість, що існує, поки діють чари, наприклад, змушуючи ліани та гілки перешкоджати переслідувачам. Рослини можуть бути здатні виконати для вас інші завдання, на розсуд Майстра. Чари не дозволяють рослинам викорінюватися та переміщуватися, але вони можуть вільно рухати гілками, вусиками та стеблами. Якщо в області є істота-рослина, ви можете спілкуватися з нею, ніби маєте спільну мову, але ви не здобуваєте магічної здатності впливати на неї. Ці чари можуть змусити рослини, створені чарами обплутування, відпустити схоплену істоту.","Бард, друїд, рейнджер"
1,Розмова з тваринами   ,"Віщування, 1 рівень (ритуал)",1 дія,На себе,"В, С",10 хвилин,"Ви здобуваєте здатність розуміти та усно спілкуватися зі звірами, поки діють чари. Знання та усвідомлення багатьох звірів обмежені їхнім інтелектом, але щонайменше, звірі можуть дати вам інформацію про розташування поблизу та монстрів, включно з будь-чим, що вони можуть сприймати та могли сприймати в попередній день. Ви можете переконати звіра виконати для вас дрібну послугу, на розсуд Майстра.","Бард, друїд, рейнджер"
2,Розпечений промінь  ,"Втілення, 2 рівень",1 дія,120 футів,"В, С",Миттєво,"Ви створюєте три промені вогню та жбурляєте ними по цілях в межах відстані. Ви можете жбурнути їх в одну ціль або в кілька. Здійсніть далекобійну атаку чарами для кожного променя. У разі влучання ціль отримує 2к6 ушкоджень вогнем. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 3 рівня або вищої, ви можете створити один додатковий промінь за кожну чарунку вище другої.","Заклинач, чарівник"
1,Розпізнавання ,"Віщування, 1 рівень (ритуал)",1 хвилина,Дотик Складові:,"В, С, М (перлина вартістю щонайменше 100 зм та совине перо)",Миттєво,"Ви вибираєте один предмет, якого повинні торкатися весь час чарування. Якщо це магічний предмет або інший предмет, наповнений магією, ви дізнаєтеся його властивості та як їх використовувати, чи потребує він налаштування для використання, скільки він має зарядів, якщо вони є. Ви дізнаєтеся, чи впливають на цей предмет які-небудь чари, і які це чари. Якщо предмет був створений чарами, ви дізнаєтеся, які чари його створили. Якщо ви під час чарування натомість торкаєтеся до істоти, то дізнаєтеся, які чари зараз на неї впливають, якщо такі чари є.","Бард, чарівник"
1,Розуміння мов ,"Віщування, 1 рівень (ритуал)",1 дія,На себе,"В, С, М (дрібка сажі та солі)",1 година,"Поки чари активні, ви розумієте буквальний зміст усіх усних мов, які чуєте. Ви також розумієте письмову мову, що бачите, але ви повинні торкатися поверхні, на якій написані слова. Щоб прочитати одну сторінку тексту, потрібна приблизно 1 хвилина. Ці чари не розшифровують секретні повідомлення в тексті чи символах, наприклад арканний сигіл, який не є частиною письмової мови.","Бард, заклинач, чаклун, чарівник"
6,Розщеплення ,"Перетворення, 6 рівень",1 дія,60 футів,"В, С, М (магнетит і дрібка пилу)",Миттєво,"Тонкий зелений промінь вилітає з вашого вказівного пальця в ціль, яку ви можете бачити в межах відстані. Ціллю може бути істота, предмет або творіння магічної енергії, наприклад, стіна, створена чарами стіна енергії. Істота, на яку націлені ці чари, повинна зробити рятівний кидок Спритності. У разі невдачі ціль отримує 10к6+40 ушкоджень чистою енергією. Якщо пункти здоров’я цілі знижуються до 0, вона розщеплюється. Розщеплена істота і все, що при ній було, крім магічних предметів, перетворюється на купу дрібного сірого пороху. Таку істоту можливо повернути до життя лише за допомогою чарів істинне воскресіння або бажання. Ці чари автоматично розщеплюють немагічні предмети, чий розмір Великий або менший, та утворення із магічної енергії. Якщо ціль є предметом, чий розмір Величезний або більший, або творінням чистої енергії, ці чари розщеплюють частину цілі завбільшки як 10-футовий куб. Ці чари не діють на магічні предмети. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 7-го рівня або вищої, ушкодження зростають на 1к10 за кожну чарунку вище шостої.","Заклинач, чарівник"
6,Рух землі  ,"Перетворення, 6 рівень",1 дія,120 футів,"В, С, М (залізне лезо і маленька торбинка, наповнена мішаниною грунтів - глиною, суглинком і піском)","Концентрація, до 2 годин","В межах відстані виберіть область місцевості зі стороною не більше 40 футів. Ви можете змінити форму грязюки, піску чи глини в цій області будь-яким способом, як бажаєте, на час дії чарів. Ви можете підняти або знизити висоту області, створити або засипати траншею, звести або зрівняти стіну або сформувати стовп. Ступінь будь-яких таких змін не може перевищувати половини найбільшого розміру області. Отже, якщо ви впливаєте на квадрат розміром 40 футів, ви можете створити стовп заввишки до 20 футів, підняти або знизити висоту квадрата до 20 футів, вирити траншею глибиною до 20 футів тощо. Для виконання цих змін потрібно 10 хвилин. У кінці кожних 10 хвилин, які ви витрачаєте на концентрацію на чарах, ви можете вибрати нову ділянку місцевості для впливу. Оскільки трансформація рельєфу відбувається повільно, істоти в цій області зазвичай не можуть потрапити в пастку або поранитися через рух землі. Ці чари не можуть взаємодіяти із природним каменем чи кам’яними будівлями. Скелі та споруди зсуваються відповідно до нової місцевості. Якщо те, як ви формуєте рельєф, зробить будівлю нестійкою, вона може зруйнуватися. Так само ці чари не впливають безпосередньо на ріст рослин. Зрушена земля переносить із собою будь-які рослини.","Друїд, заклинач, чарівник"
1,Рухомий диск  ,"З’явлення, 1 рівень (ритуал)",1 дія,30 футів,"В, С, М (крапля ртуті)",1 година,"Ці чари створюють круглу горизонтальну площину чистої енергії діаметром 3 фути та товщиною 1 дюйм, яка зависає на висоті 3 фути над землею у вільному місці за вашим вибором, яке ви можете бачити в межах відстані. Диск існує, поки діють чари, і може тримати до 500 фунтів ваги. Якщо на ньому розмістити більшу вагу, чари завершуються, і все, що було на диску, падає на землю. Диск нерухомий, поки ви перебуваєте в межах 20 футів від нього. Якщо ви переміщуєтеся далі, ніж на 20 футів від нього, диск слідує за вами так, щоб залишатися в межах 20 футів від вас. Він може переміщуватися по нерівній місцевості, вгору або вниз по сходах, схилах тощо, але не може долати підйоми на 10 футів чи більше. Наприклад, диск не може переміститися через яму завглибшки 10 футів, і не може вибратися з цієї ями, якщо був створений на її дні. Якщо ви переміщуєтеся більш як на 100 футів від диска (зазвичай через те, що диск не може подолати перешкоду, щоб слідувати за вами), чари завершуються.",Чарівник
9,Рій метеорів  ,"Втілення, 9 рівень",1 дія,1 миля,"В, С",Миттєво,"Палаючі кулі вогню врізаються в землю в чотирьох різних точках, які ви можете бачити в межах відстані. Кожна істота в сфері радіусом 40 футів із центром у вибраній вами точці повинна зробити рятівний кидок Спритності. Сфера огинає кути. Істота отримує 20к6 ушкоджень вогнем і 20к6 дробильних ушкоджень у разі невдачі, або половину цих ушкоджень за умови успіху. Істота в області більш ніж одного вогняного вибуху піддається цьому впливу лише раз. Чари ушкоджують предмети в області та підпалюють займисті предмети, які ніхто не тримає при собі.","Заклинач, чарівник"
3,Ріст рослин  ,"Перетворення, 3 рівень",1 дія,150 футів,"В, С",Миттєво,"Ці чари спрямовують життєву силу в рослини в межах певної області. Є два можливі способи використання цих чарів, що надають або миттєвий, або довготривалий привілей. Якщо ви створюєте чари з використанням 1 дії, виберіть точку в межах відстані. Усі нормальні рослини в радіусі 100 футів від цієї точки стають густими та перерослими. Істоти, що переміщуються крізь цю область, повинні витрачати 4 фути за кожен фут свого переміщення. Ви можете виключити одну або більше областей будь-якого розміру з області дії чарів. Якщо ви створюєте ці чари впродовж 8 годин, ви збагачуєте землю. Усі рослини в радіусі пів милі від вибраної точки в межах відстані наснажуються на 1 рік. Рослини дають удвічі більше врожаю, ніж звичайно.","Бард, друїд, рейнджер"
4,Свобода рухів   ,"Перешкоджання, 4 рівень",1 дія,Дотик Складові:,"В, С, М (шкіряний ремінець, пов’язаний на руку, або подібна пов’язка)",1 година,"Ви торкаєтеся згодної істоти. Поки діють чари, на переміщення цілі не чинить впливу важкопрохідна місцевість, а чари чи інші магічні ефекти не можуть ані зменшити швидкість цілі, ані паралізувати чи скути її. Ціль також може витратити 5 футів переміщення, щоб автоматично уникнути немагічних стримувачів, таких як кайдани або істота, що намагається її схопити. Нарешті, перебування під водою не чинить перешкод переміщенню істоти чи її атакам.","Бард, клірик, друїд, рейнджер"
8,Свята аура  ,"Перешкоджання, 8 рівень",1 дія,На себе,"В, С, М (крихітний релікварій вартістю щонайменше 1000 зм, що містить священну реліквію, наприклад клапоть від мантії святого чи шматочок пергаменту з релігійним текстом)",Концентрація. до 1 хвилини,"Божественне світло виходить з вас і розливається м’яким випромінюванням у 30-футовому радіусі навколо вас. Істоти за вашим вибором у цьому радіусі, коли ви створюєте ці чари, випромінюють тьмяне світло у радіусі 5 футів та мають перевагу на всі рятівні кидки, а інші істоти мають перешкоду на кидки атаки проти них, поки чари не завершаться. Крім того, коли погань або невмерлий влучає по такій істоти атакою ближнього бою, аура спалахує яскравим світлом. Нападник повинен зробити успішний рятівний кидок Статури, або буде осліплений на час дії чарів.",Клірик
1,Святилище ,"Перешкоджання, 1 рівень",1 бонусна,30 футів,"В, С, М (маленьке срібне дзеркальце)",1 хвилина,"Ви оберігаєте істоту в межах відстані проти атак. Поки чари не завершаться, будь-яка істота, яка цілить у захищену істоту атакою чи шкідливими чарами, повинна спочатку зробити рятівний кидок Мудрості. У разі невдачі істота повинна вибрати нову ціль, або втратить атаку чи чари. Ці чари не оберігають захищену істоту від ефектів області, таких як вибух вогнекулі. Якщо захищена істота здійснює атаку чи створює чари, які впливають на ворожу істоту, чари завершуються.",Клірик
0,Священне полумя  ,"Втілення, замовляння",1 дія,60 футів,"В, С",Миттєво,"Подібне до полум’я випромінювання опускається на істоту, яку ви можете бачити в межах відстані. Ціль має здійснити успішний ряткидок Спритності або отримає 1к8 променистих ушкоджень. Ціль не отримує переваг від укриття для цього рятівного кидка. Ушкодження чарів зростають на 1к8, коли ви досягаєте 5 рівня (2к8), 11 рівня (3к8) та 17 рівня (4к8).",Клірик
0,Світло ,"Втілення, замовляння",1 дія,Дотик Складові:,"В, М (світлячок або фосфоресцентний мох)",1 година,"Ви торкаєтеся одного предмета, розмір якого не перевищує 10 футів у найбільшому вимірі. Поки чари не завершаться, предмет випромінює яскраве світло в радіусі 20 футів і тьмяне світло на додаткові 20 футів. Світло може бути будь-якого кольору на ваш смак. Повне накривання предмета чимось непрозорим блокує світло. Чари завершуються, якщо ви створюєте їх знову або якщо припиняєте їх дією. Якщо ви націлюєтеся на предмет, який тримає при собі ворожа істота, ця істота повинна зробити рятівний кидок Спритності, щоб уникнути чарів.","Бард, клірик, заклинач, чарівник"
7,Силова кліть ,"Втілення, 7 рівень",1 дія,100 футів,"В, С, М (рубіновий пил вартістю 1500 зм)",1 година,"Нерухома, невидима в’язниця у формі куба, що складається з магічної сили, виникає навколо вибраної вами області в межах відстані. В’язниця може бути кліткою або суцільною коробкою, на ваш вибір. В’язниця у формі клітки може мати сторону до 20 футів і складається з прутів діаметром 1/2 дюйма, розташованих на відстані 1/2 дюйма один від одного. В’язниця у формі суцільної коробки може мати сторону до 10 футів, створюючи надійний бар’єр, який перешкоджає проходженню будь-якої матерії через неї та блокує будь-які чари, спрямовані в цю область або з цієї області. Коли ви створюєте ці чари, будь-яка істота, що перебуває повністю в області кліті, опиняється у пастці. Істоти, що лише частково потрапляють в область чарів, чи занадто великі, щоб вміститися всередину, виштовхуються геть від центру області, поки не опиняться повністю за її межами. Істоти всередині кліті не можуть залишити її немагічним способом. Якщо істота намагається використати телепортацію або міжпланарну подорож, щоб залишити клітку, вона повинна спочатку зробити рятівний кидок Харизми. У разі успіху істота може скористатися магією для виходу з кліті. У разі невдачі істота не може вийти з кліті й витрачає використання чарів чи ефекту. Кліть також поширюється на Етерний план, блокуючи етерні подорожі. Ці чари не можна розвіяти чарами розвіювання магії.","Бард, чаклун, чарівник"
7,Символ ,"Перешкоджання, 7 рівень",1 хвилина,Дотик Складові:,"В, С, М (ртуть, фосфор, діамантовий та опаловий порошок загальною вартістю не менше 1000 зм, які поглинаються чарами)",Доки не розвіють або до спрацювання,"Коли ви створюєте ці чари, ви надписуєте шкідливий символ або на поверхні (наприклад, ділянці підлоги, стіни або столу), або в предметі, який можна закрити, щоб приховати гліф (наприклад, книга, сувій або скриню зі скарбами). Якщо ви вибираєте поверхню, то символ може покривати площу не більше 10 футів в діаметрі. Якщо ви обираєте предмет, він мусить залишатися на своєму місці; якщо предмет перенести далі 10 футів від місця, де ви створюєте ці чари, символ руйнується, і чари закінчуються без спрацювання. Символ майже непомітний і вимагає успішної перевірки Інтелекту (Розслідування) проти КС ваших чарів для виявлення. Ви визначаєте умови спрацювання символа, коли створюєте ці чари. Для символів, вирізаних на поверхні, найбільш типові тригери включають дотик або ставання на символ, видалення предмета, який його накривав, наближення на певну відстань до символа чи маніпуляції з предметом, на якому нанесено символ. Для символів, написаних в предметів, найбільш поширеними тригерами є відкривання предмета, наближення до нього на певну відстань, бачення або читання символа. Ви можете удосконалити тригер так, щоб чари спрацьовували тільки при певних умовах або відповідно до фізичних характеристик істоти (таких як зріст або вага), фізичного типу (наприклад, захист можна встановити проти карг або перекиднів). Ви також можете визначити істот, які не викликають спрацювання символа, наприклад, ті, хто скаже певний пароль. Коли ви надписуєте символ, виберіть одну з кількох можливостей нижче для його ефекту. Спрацювавши, символ сяє, наповнює сферу радіусом 60 футів тьмяним світлом на 10 хвлиин, після чого чари завершуються. Кожна істота в цій сфері під час спрацювання гліфа, є ціллю його ефекту, а також істот, що входять у сферу вперше за свій хід чи завершують свій хід у ній. Смерть. Кожна ціль повинна зробити рятівний кидок Статури, отримуючи 10к10 некротичних ушкоджень у разі невдачі, або половину цих ушкоджень за умови успіху. Розбрат. Кожна істота повинна зробити рятівний кидок Статури. У разі невдачі, ціль свариться та сперечається із іншими істотами впродовж 1 хвилини. У цей час вона нездатна до змістовного спілкування і має перешкоду на кидки атаки та перевірки здібностей. Страх. Кожна ціль повинна зробити рятівний кидок Мудрості, і стає наляканою на 1 хвилину в разі невдачі. Поки налякана, ціль впускає все, що тримала, і повинна переміститися принаймні на 30 футів геть від символа в кожен свій хід, якщо це можливо. Відчай. Кожна істота повинна зробити рятівний кидок Харизми. У разі невдачі ціль охоплена відчаєм на 1 хвилину. Упродовж цього часу вона не може атакувати чи націлюватися на будь-яку істоту шкідливими здатностями, чарами чи іншими магічними ефектами. Божевілля. Кожна ціль повинна зробити рятівний кидок Інтелекту. У разі невдачі ціль божеволіє на 1 хвилину. Божевільна істота не може здійснювати дії, не розуміє, що кажуть інші істоти, не може читати та говорить тільки тарабарщиною. Майстер контролює її переміщення, які є хаотичними. Біль. Кожна істота повинна зробити рятівний кидок Статури і стає недієздатною через нестерпний біль на 1 хвилину у разі невдачі. Сон. Кожна істота повинна зробити рятівний кидок Мудрості й непритомніє на 10 хвилин у разі невдачі. Істота прокидається, якщо отримує ушкодження, або якщо хтось використовує дію, щоб розбурхати її від сну. Приголомшення. Кожна ціль повинна зробити рятівний кидок Мудрості, або буде приголомшена на 1 хвилину в разі невдачі.","Бард, клірик, чарівник"
